Date,Open,High,Low,Close,Adj Close,Volume
2000-04-20,105.000000,105.250000,102.062500,104.000000,67.870033,10633300
2000-04-24,102.000000,107.187500,101.250000,106.500000,69.501503,8523100
2000-04-25,106.500000,113.000000,106.437500,112.500000,73.417107,9576400
2000-04-26,112.500000,113.937500,109.000000,110.500000,72.111893,6182800
2000-04-27,109.500000,113.125000,108.687500,110.625000,72.193481,6317500
2000-04-28,112.000000,112.687500,110.125000,111.500000,72.764526,4888600
2000-05-01,112.500000,113.187500,110.437500,112.000000,73.090828,4196100
2000-05-02,111.000000,113.625000,110.687500,111.375000,72.682945,4085000
2000-05-03,110.500000,111.125000,106.562500,108.125000,70.561996,5543800
2000-05-04,109.125000,109.187500,107.187500,107.625000,70.235695,3631300
2000-05-05,106.625000,109.625000,106.500000,107.875000,70.398827,4695100
2000-05-08,108.062500,110.375000,107.625000,109.750000,71.708862,4826900
2000-05-09,110.500000,110.625000,108.250000,109.000000,71.218849,4864900
2000-05-10,105.500000,105.687500,102.062500,103.000000,67.298523,10012700
2000-05-11,104.000000,107.500000,103.187500,104.437500,68.237785,8106200
2000-05-12,103.750000,105.750000,103.250000,104.437500,68.237785,5599700
2000-05-15,104.000000,104.875000,102.000000,104.187500,68.074432,5907800
2000-05-16,105.125000,109.250000,105.000000,109.000000,71.218849,7265800
2000-05-17,107.500000,108.875000,106.125000,107.875000,70.483795,5524500
2000-05-18,106.125000,107.312500,104.687500,106.062500,69.299538,4577200
2000-05-19,106.062500,107.500000,105.000000,106.437500,69.544533,6419200
2000-05-22,106.000000,109.250000,103.437500,109.250000,71.382202,6769400
2000-05-23,109.000000,110.000000,107.125000,107.375000,70.157097,5978900
2000-05-24,106.500000,110.000000,104.187500,109.625000,71.627213,8184200
2000-05-25,110.500000,112.250000,106.375000,106.500000,69.585388,5967600
2000-05-26,105.500000,107.187500,104.562500,106.937500,69.871231,4296900
2000-05-30,107.750000,111.000000,107.687500,110.937500,72.484749,3617500
2000-05-31,110.500000,110.750000,107.187500,107.312500,70.116272,3732500
2000-06-01,107.562500,108.937500,105.500000,106.000000,69.258690,5712500
2000-06-02,109.000000,109.750000,107.625000,108.812500,71.096344,5473300
2000-06-05,108.437500,114.187500,108.437500,112.812500,73.709869,7281400
2000-06-06,112.250000,114.625000,111.250000,112.375000,73.423988,5369400
2000-06-07,112.500000,121.750000,111.500000,121.000000,79.059433,11115500
2000-06-08,119.375000,122.312500,117.500000,119.750000,78.242714,9325600
2000-06-09,119.875000,120.750000,118.875000,119.687500,78.201836,4739100
2000-06-12,119.125000,120.437500,118.843750,118.843750,77.650597,3640300
2000-06-13,118.875000,119.937500,116.750000,119.312500,77.956871,4008600
